sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,aquatic detritus,1,1,0,21,0,1,0,10
2,aquatic heterotroph microbes,2,3,0,10,0,1,0,2
3,aquatic heterotroph microbes,2,3,0,10,0,1,0,6
4,aquatic heterotroph microbes,2,3,0,10,0,1,0,4
5,aquatic unicellular/small algae,3,5,6,14,0,1,3,2
6,aquatic unicellular/small algae,3,5,6,14,0,1,2,6
7,aquatic unicellular/small algae,3,5,6,14,0,1,1,4
8,aquatic unicellular/small algae,3,5,6,14,0,1,4,4
9,aquatic unicellular/small algae,3,5,6,14,0,1,3,4
10,planktic large colonial algae,4,1,1,10,0,1,1,4
11,benthic filamentous algae,5,5,4,5,0,1,2,1
12,benthic filamentous algae,5,5,4,5,0,1,1,2
13,benthic filamentous algae,5,5,4,5,0,1,1,1
14,benthic filamentous algae,5,5,4,5,0,1,1,3
15,benthic filamentous algae,5,5,4,5,0,1,4,2
16,other benthic/epiphytic algae,6,4,4,5,0,1,3,2
17,other benthic/epiphytic algae,6,4,4,5,0,1,1,2
18,other benthic/epiphytic algae,6,4,4,5,0,1,1,2
19,other benthic/epiphytic algae,6,4,4,5,0,1,1,2
20,macrophytic algae,7,1,10,4,0,1,1,2
21,partially terrestrial epilithic/epiphytic algae,8,3,16,2,1,1,16,0
22,partially terrestrial epilithic/epiphytic algae,8,3,16,2,1,1,3,1
23,partially terrestrial epilithic/epiphytic algae,8,3,16,2,1,1,4,0
24,aquatic saprotrophs,9,5,7,1,0,1,1,0
25,aquatic saprotrophs,9,5,7,1,0,1,1,1
26,aquatic saprotrophs,9,5,7,1,0,1,1,0
27,aquatic saprotrophs,9,5,7,1,0,1,2,1
28,aquatic saprotrophs,9,5,7,1,0,1,1,0
29,small algae parasites,10,1,20,2,0,1,6,1
30,aquatic macrophyte parasites,11,1,5,2,0,1,2,1
31,nematodes,12,1,11,1,1,1,3,0
32,swimming filter feeders,13,2,0,1,0,1,0,1
33,swimming filter feeders,13,2,0,1,0,1,0,1
34,swimming scrapers,14,1,5,1,0,1,4,1
35,arthropod  omnivores,15,2,0,1,0,1,0,1
36,arthropod  omnivores,15,2,0,1,0,1,0,0
37,benthic predators,16,1,0,0,0,1,0,0
