sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,terrestrial detritus,1,1,0,4,1,0,0,3,1.0,0.0
2,land plants,2,8,0,4,1,0,0,2,1.0,0.0
3,land plants,2,8,0,4,1,0,0,1,1.0,0.0
4,land plants,2,8,0,4,1,0,0,2,1.0,0.0
5,land plants,2,8,0,4,1,0,0,1,1.0,0.0
6,land plants,2,8,0,4,1,0,0,1,1.0,0.0
7,land plants,2,8,0,4,1,0,0,1,1.0,0.0
8,land plants,2,8,0,4,1,0,0,1,1.0,0.0
9,land plants,2,8,0,4,1,0,0,0,1.0,0.0
10,heterotrophic microbes,3,1,2,7,1,0,2,3,2.5,1.0
11,terrestrial fungi,4,1,10,7,1,0,2,1,2.0,1.0
12,terrestrial microbivores,5,1,3,8,1,0,1,4,2.0,1.0
13,terrestrial detritivores,6,2,4,8,1,0,1,3,2.0,1.0
14,terrestrial detritivores,6,2,4,8,1,0,2,4,2.0,1.0
15,mites,7,2,12,8,1,0,3,4,2.3333333333333335,2.0
16,mites,7,2,12,8,1,0,1,2,2.0,1.0
17,small terrestrial arthropod predators,8,3,9,8,1,0,1,2,3.0,2.0
18,small terrestrial arthropod predators,8,3,9,8,1,0,9,3,3.6296296296296298,3.0
19,small terrestrial arthropod predators,8,3,9,8,1,0,1,4,3.0,2.0
20,large terrestrial arthropod predators,9,5,13,5,1,0,10,3,4.944444444444445,4.0
21,large terrestrial arthropod predators,9,5,13,5,1,0,11,2,4.763636363636364,4.0
22,large terrestrial arthropod predators,9,5,13,5,1,0,1,2,5.666666666666666,6.0
23,large terrestrial arthropod predators,9,5,13,5,1,0,3,3,5.05,5.0
24,large terrestrial arthropod predators,9,5,13,5,1,0,3,2,4.230769230769231,5.0
25,aquatic detritus,10,1,0,5,0,1,0,1,1.0,0.0
26,aquatic heterotroph microbes,11,1,2,6,0,1,1,2,2.0,1.0
27,planktonic algae,12,1,0,6,0,1,0,2,1.0,0.0
28,benthic algae,13,1,0,10,1,1,0,3,1.0,0.0
29,macrophytic algae,14,1,0,4,0,1,0,1,1.0,0.0
30,aquatic fungi,15,1,5,4,0,1,2,2,2.5,1.0
31,nematodes,16,1,12,8,1,1,6,3,2.4285714285714284,2.0
32,swimming filter feeders,17,2,2,2,0,1,1,0,2.0,1.0
33,swimming filter feeders,17,2,2,2,0,1,1,1,2.0,1.0
34,swimming scrapers,18,1,5,3,0,1,1,1,3.0,2.0
35,arthropod omnivores,19,2,13,3,0,1,3,0,3.2222222222222223,3.0
36,arthropod omnivores,19,2,13,3,0,1,2,1,2.0,1.0
37,benthic predators,20,1,4,2,0,1,3,0,3.4444444444444446,3.0
