sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,terrestrial detritus,1,1,0,4,1,0,0,1,1.0,0.0
2,land plants,2,1,0,4,1,0,0,2,1.0,0.0
3,heterotrophic microbes,3,1,2,7,1,0,1,1,2.0,1.0
4,terrestrial fungi,4,1,3,7,1,0,1,2,2.0,1.0
5,terrestrial microbivores,5,1,3,8,1,0,1,7,3.0,2.0
6,terrestrial detritivores,6,2,4,8,1,0,1,6,3.0,2.0
7,terrestrial detritivores,6,2,4,8,1,0,1,5,2.0,1.0
8,mites,7,2,5,8,1,0,2,6,2.5,2.0
9,mites,7,2,5,8,1,0,1,4,3.0,2.0
10,small terrestrial arthropod predators,8,3,9,8,1,0,6,4,4.090909090909091,3.0
11,small terrestrial arthropod predators,8,3,9,8,1,0,9,5,4.125,3.0
12,small terrestrial arthropod predators,8,3,9,8,1,0,4,5,4.0,3.0
13,large terrestrial arthropod predators,9,5,13,5,1,0,7,4,4.428571428571429,3.0
14,large terrestrial arthropod predators,9,5,13,5,1,0,13,3,4.448275862068965,3.0
15,large terrestrial arthropod predators,9,5,13,5,1,0,13,3,4.448275862068965,3.0
16,large terrestrial arthropod predators,9,5,13,5,1,0,2,3,3.666666666666667,3.0
17,large terrestrial arthropod predators,9,5,13,5,1,0,5,2,4.416666666666666,4.0
18,aquatic detritus,10,1,0,5,0,1,0,0,1.0,0.0
19,aquatic heterotroph microbes,11,1,3,6,0,1,1,3,2.0,1.0
20,planktonic algae,12,1,0,7,0,1,0,2,1.0,0.0
21,benthic algae,13,1,0,10,1,1,0,4,1.0,0.0
22,macrophytic algae,14,1,0,4,0,1,0,2,1.0,0.0
23,aquatic fungi,15,1,5,4,0,1,1,2,2.0,1.0
24,nematodes,16,1,5,8,1,1,1,4,2.0,1.0
25,swimming filter feeders,17,2,2,2,0,1,2,0,2.0,1.0
26,swimming filter feeders,17,2,2,2,0,1,2,0,2.0,1.0
27,swimming scrapers,18,1,5,3,0,1,2,0,2.5,2.0
28,arthropod omnivores,19,2,13,3,0,1,1,1,3.0,2.0
29,arthropod omnivores,19,2,13,3,0,1,2,1,2.0,1.0
30,benthic predators,20,1,4,2,0,1,3,0,3.25,2.0
