trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,26,1.0,0.0,1.0149253731343284,0.0,1.0,1.0149253731343284,0.0
2,2,Aglaophyton,1,0,10,1.0,0.0,1.511111111111111,0.0,1.0,1.511111111111111,0.0
3,3,Rhynia,1,0,11,1.0,0.0,1.3877551020408163,0.0,1.0,1.3877551020408163,0.0
4,4,Asteroxylon,1,0,15,1.0,0.0,1.3877551020408163,0.0,1.0,1.3877551020408163,0.0
5,5,Horneophyton,1,0,12,1.0,0.0,1.2363636363636363,0.0,1.0,1.2363636363636363,0.0
6,6,Nothia,1,0,10,1.0,0.0,1.3076923076923077,0.0,1.0,1.3076923076923077,0.0
7,7,other land plants,1,0,6,1.0,0.0,1.6585365853658536,0.0,1.0,1.6019955654101996,0.0
8,8,other land plants,1,0,9,1.0,0.0,1.5454545454545454,0.0,1.0,1.6019955654101996,0.0
9,9,lichen,1,0,3,1.0,0.0,1.4782608695652173,0.0,1.0,1.4782608695652173,0.0
10,10,terrestrial heterotroph bacteria,1,1,3,2.0,1.0,9.714285714285714,68.0,2.0,9.714285714285714,68.0
11,11,terrestrial protozoa,1,13,0,3.5128205128205128,3.0,0.0,0.8292682926829268,3.5128205128205128,0.0,0.8292682926829268
12,12,terrestrial saprotrophs,1,1,6,2.0,1.0,2.6153846153846154,68.0,2.0,2.68467765681535,68.0
13,13,terrestrial saprotrophs,1,1,6,2.0,1.0,2.6153846153846154,68.0,2.0,2.68467765681535,68.0
14,14,terrestrial saprotrophs,1,1,5,2.0,1.0,3.090909090909091,68.0,2.0,2.68467765681535,68.0
15,15,terrestrial saprotrophs,1,1,4,2.0,1.0,2.3448275862068964,68.0,2.0,2.68467765681535,68.0
16,16,terrestrial saprotrophs,1,1,7,2.0,1.0,2.2666666666666666,68.0,2.0,2.68467765681535,68.0
17,17,terrestrial saprotrophs,1,1,3,2.0,1.0,2.4285714285714284,68.0,2.0,2.68467765681535,68.0
18,18,terrestrial saprotrophs,1,1,5,2.0,1.0,3.238095238095238,68.0,2.0,2.68467765681535,68.0
19,19,terrestrial saprotrophs,1,1,5,2.0,1.0,3.238095238095238,68.0,2.0,2.68467765681535,68.0
20,20,terrestrial saprotrophs,1,1,1,2.0,1.0,2.2666666666666666,68.0,2.0,2.68467765681535,68.0
21,21,terrestrial saprotrophs,1,1,5,2.0,1.0,2.125,68.0,2.0,2.68467765681535,68.0
22,22,terrestrial saprotrophs,1,1,7,2.0,1.0,3.090909090909091,68.0,2.0,2.68467765681535,68.0
23,23,terrestrial saprotrophs,1,1,6,2.0,1.0,2.8333333333333335,68.0,2.0,2.68467765681535,68.0
24,24,terrestrial saprotrophs,1,1,2,2.0,1.0,2.193548387096774,68.0,2.0,2.68467765681535,68.0
25,25,terrestrial saprotrophs,1,1,3,2.0,1.0,3.238095238095238,68.0,2.0,2.68467765681535,68.0
26,26,mycorrhizae: Aglaophyton,1,3,1,2.0,1.0,2.2666666666666666,22.666666666666668,2.0,2.5170413815575103,14.571428571428571
27,27,mycorrhizae: Aglaophyton,1,7,4,2.0,1.0,3.090909090909091,9.714285714285714,2.0,2.5170413815575103,14.571428571428571
