sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,terrestrial detritus,1,1,0,4,1,0,0,0,1.0,0.0
2,land plants,2,1,0,4,1,0,0,3,1.0,0.0
3,heterotrophic microbes,3,1,2,7,1,0,1,4,2.0,1.0
4,terrestrial fungi,4,1,3,7,1,0,2,6,2.5,1.0
5,terrestrial microbivores,5,1,3,8,1,0,1,3,3.0,2.0
6,terrestrial detritivores,6,2,4,8,1,0,2,3,3.0,2.0
7,terrestrial detritivores,6,2,4,8,1,0,2,6,3.0,2.0
8,mites,7,2,5,8,1,0,1,4,2.0,1.0
9,mites,7,2,5,8,1,0,5,4,2.8,1.0
10,small terrestrial arthropod predators,8,3,9,8,1,0,1,2,4.0,3.0
11,small terrestrial arthropod predators,8,3,9,8,1,0,1,4,4.0,3.0
12,small terrestrial arthropod predators,8,3,9,8,1,0,8,4,3.7272727272727275,2.0
13,large terrestrial arthropod predators,9,5,13,5,1,0,4,3,4.5,4.0
14,large terrestrial arthropod predators,9,5,13,5,1,0,13,2,4.142857142857142,2.0
15,large terrestrial arthropod predators,9,5,13,5,1,0,2,2,3.666666666666667,3.0
16,large terrestrial arthropod predators,9,5,13,5,1,0,5,1,4.222222222222222,2.0
17,large terrestrial arthropod predators,9,5,13,5,1,0,8,3,4.076923076923077,2.0
18,benthic algae,10,1,0,6,1,1,0,2,1.0,0.0
19,nematodes,11,1,4,5,1,1,2,2,2.5,2.0
