trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,terrestrial detritus,1,0,21,1.0,0.0
2,2,land plants,1,0,9,1.0,0.0
3,3,land plants,1,0,8,1.0,0.0
4,4,land plants,1,0,8,1.0,0.0
5,5,land plants,1,0,6,1.0,0.0
6,6,land plants,1,0,7,1.0,0.0
7,7,land plants,1,0,5,1.0,0.0
8,8,land plants,1,0,7,1.0,0.0
9,9,land plants,1,0,6,1.0,0.0
10,10,terrestrial heterotroph microbes,1,1,2,2.0,1.0
11,11,terrestrial heterotroph microbes,1,1,2,3.0,2.0
12,12;27;40,terrestrial saprotrophs,3,1,3,2.0,1.0
13,13,terrestrial saprotrophs,1,1,2,2.0,1.0
14,14,terrestrial saprotrophs,1,1,2,2.0,1.0
15,15;19,terrestrial saprotrophs,2,1,1,2.0,1.0
16,16,terrestrial saprotrophs,1,1,2,2.0,1.0
17,17,terrestrial saprotrophs,1,1,0,2.0,1.0
18,18;24,terrestrial saprotrophs,2,1,1,2.0,1.0
20,20,terrestrial saprotrophs,1,1,2,2.0,1.0
21,21;25,terrestrial saprotrophs,2,1,3,2.0,1.0
22,22,terrestrial saprotrophs,1,1,4,2.0,1.0
23,23,terrestrial saprotrophs,1,1,1,2.0,1.0
26,26,terrestrial saprotrophs,1,1,4,2.0,1.0
28,28,terrestrial saprotrophs,1,1,2,2.0,1.0
29,29,mycorrhizae,1,3,2,2.0,1.0
30,30,mycorrhizae,1,2,1,2.0,1.0
31,31,mycorrhizae,1,1,4,2.0,1.0
32,32,mycorrhizae,1,9,0,2.0,1.0
33,33,mycorrhizae,1,2,1,2.0,1.0
34,34,mycorrhizae,1,7,0,2.0,1.0
35,35,mycorrhizae,1,1,3,2.0,1.0
36,36,mycorrhizae,1,1,4,2.0,1.0
37,37,mycorrhizae,1,1,3,2.0,1.0
38,38,plant parasites,1,3,2,2.0,1.0
39,39,plant parasites,1,8,2,2.0,1.0
41,41,plant parasites,1,2,3,2.0,1.0
42,42,plant parasites,1,6,2,2.0,1.0
43,43,plant parasites,1,2,2,2.0,1.0
44,44,plant parasites,1,9,2,2.0,1.0
45,45,fungal parasites,1,14,2,3.0,2.0
46,46,fungal parasites,1,1,0,3.0,2.0
47,47,fungal parasites,1,7,1,3.0,2.0
48,48,terrestrial microbivores,1,20,2,3.116279069767442,2.0
49,49,terrestrial detritivores,1,1,0,2.0,1.0
50,50,terrestrial detritivores,1,3,0,2.0,1.0
51,51,mites,1,14,2,3.1794871794871797,3.0
52,52,mites,1,14,1,3.057142857142857,2.0
53,53,terrestrial arthropod predators (1),1,4,3,4.115384615384615,4.0
54,54,terrestrial arthropod predators (1),1,7,3,4.1625,3.0
55,55,terrestrial arthropod predators (1),1,1,1,4.111111111111111,4.0
56,56,terrestrial arthropod predators (2),1,3,1,5.357142857142858,4.0
57,57,terrestrial arthropod predators (2),1,3,0,6.142857142857143,6.0
58,58,terrestrial arthropod predators (2),1,1,3,2.0,1.0
59,59,terrestrial arthropod predators (2),1,1,2,5.642857142857142,6.0
60,60,terrestrial arthropod predators (2),1,2,2,4.642857142857142,5.0
61,61,aquatic detritus,1,0,3,1.0,0.0
62,62,aquatic heterotroph microbes,1,3,2,2.0,1.0
63,63,aquatic heterotroph microbes,1,3,2,3.142857142857143,2.0
64,64,aquatic heterotroph microbes,1,1,0,2.0,1.0
65,65,aquatic unicellular/small algae,1,0,2,1.0,0.0
66,66,aquatic unicellular/small algae,1,0,3,1.0,0.0
67,67,aquatic unicellular/small algae,1,0,3,1.0,0.0
68,68;70;71;72;73;76,aquatic unicellular/small algae,6,0,0,1.0,0.0
69,69,aquatic unicellular/small algae,1,0,2,1.0,0.0
74,74,benthic filamentous algae,1,0,1,1.0,0.0
75,75,benthic filamentous algae,1,0,3,1.0,0.0
77,77,other benthic/epiphytic algae,1,0,1,1.0,0.0
78,78,other benthic/epiphytic algae,1,0,1,1.0,0.0
79,79,other benthic/epiphytic algae,1,0,3,1.0,0.0
80,80,macrophytic algae,1,0,1,1.0,0.0
81,81,partially terrestrial epilithic/epiphytic algae,1,0,4,1.0,0.0
82,82,partially terrestrial epilithic/epiphytic algae,1,0,3,1.0,0.0
83,83,partially terrestrial epilithic/epiphytic algae,1,0,5,1.0,0.0
84,84;85;87,aquatic saprotrophs,3,1,1,2.0,1.0
86,86,aquatic saprotrophs,1,1,0,2.0,1.0
88,88,small algae parasites,1,1,1,2.0,1.0
89,89,aquatic macrophyte parasites,1,1,1,2.0,1.0
90,90,nematodes,1,8,4,3.230769230769231,3.0
91,91,swimming filter feeders,1,2,0,2.5,2.0
92,92,swimming filter feeders,1,5,1,2.7142857142857144,3.0
93,93,swimming scrapers,1,6,1,2.625,2.0
94,94,arthropod  omnivores,1,3,2,2.0,1.0
95,95,arthropod  omnivores,1,6,1,2.8333333333333335,4.0
96,96,benthic predators,1,5,1,4.18,4.0
