trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,guild_ntp,sp_closeness,guild_closeness,sp_out_closeness,sp_in_closeness,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,21,1.0,0.0,1.0,0.0,0.0,1.588235294117647,0.0,1.588235294117647,0.0
2,2,land plants,1,0,10,1.0,0.0,1.0,0.0,0.0,2.3142857142857145,0.0,2.431214401999803,0.0
3,3,land plants,1,0,5,1.0,0.0,1.0,0.0,0.0,2.6129032258064515,0.0,2.431214401999803,0.0
4,4,land plants,1,0,3,1.0,0.0,1.0,0.0,0.0,2.53125,0.0,2.431214401999803,0.0
5,5,land plants,1,0,9,1.0,0.0,1.0,0.0,0.0,1.9285714285714286,0.0,2.431214401999803,0.0
6,6,land plants,1,0,6,1.0,0.0,1.0,0.0,0.0,2.3823529411764706,0.0,2.431214401999803,0.0
7,7,land plants,1,0,8,1.0,0.0,1.0,0.0,0.0,2.6129032258064515,0.0,2.431214401999803,0.0
8,8,land plants,1,0,7,1.0,0.0,1.0,0.0,0.0,2.4545454545454546,0.0,2.431214401999803,0.0
9,9,land plants,1,0,5,1.0,0.0,1.0,0.0,0.0,2.6129032258064515,0.0,2.431214401999803,0.0
10,10,terrestrial heterotroph microbes,1,1,4,2.0,1.0,2.0,81.0,40.5,3.6818181818181817,81.0,3.287337662337662,40.5
11,11,terrestrial heterotroph microbes,1,1,6,2.0,1.0,2.0,0.0,40.5,2.892857142857143,0.0,3.287337662337662,40.5
12,12;17,terrestrial saprotrophs,2,1,4,2.0,1.0,2.0,81.0,81.0,3.375,81.0,3.8157345857803526,81.0
13,13,terrestrial saprotrophs,1,1,6,2.0,1.0,2.0,81.0,81.0,3.1153846153846154,81.0,3.8157345857803526,81.0
14,14,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,81.0,81.0,4.2631578947368425,81.0,3.8157345857803526,81.0
15,15,terrestrial saprotrophs,1,1,6,2.0,1.0,2.0,81.0,81.0,3.5217391304347827,81.0,3.8157345857803526,81.0
16,16,terrestrial saprotrophs,1,1,3,2.0,1.0,2.0,81.0,81.0,5.0625,81.0,3.8157345857803526,81.0
18,18;21,terrestrial saprotrophs,2,1,3,2.0,1.0,2.0,81.0,81.0,4.2631578947368425,81.0,3.8157345857803526,81.0
19,19,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,81.0,81.0,3.6818181818181817,81.0,3.8157345857803526,81.0
20,20;22,terrestrial saprotrophs,2,1,2,2.0,1.0,2.0,81.0,81.0,5.0625,81.0,3.8157345857803526,81.0
23,23,terrestrial saprotrophs,1,1,5,2.0,1.0,2.0,81.0,81.0,3.24,81.0,3.8157345857803526,81.0
