trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,aquatic detritus,1,0,7,1.0,0.0
2,2,aquatic heterotroph microbes,1,0,4,1.0,0.0
3,3,aquatic heterotroph microbes,1,0,4,1.0,0.0
4,4,aquatic heterotroph microbes,1,0,4,1.0,0.0
5,5,aquatic unicellular/small algae,1,3,3,4.0,2.0
6,6,aquatic unicellular/small algae,1,2,7,3.5,2.0
7,7,aquatic unicellular/small algae,1,1,4,4.0,3.0
8,8,aquatic unicellular/small algae,1,1,6,3.0,2.0
9,9,aquatic unicellular/small algae,1,2,7,3.0,2.0
10,10,planktic large colonial algae,1,1,2,2.0,1.0
11,11,benthic filamentous algae,1,2,1,2.0,1.0
12,12,benthic filamentous algae,1,4,1,2.0,1.0
13,13,benthic filamentous algae,1,1,3,2.0,1.0
14,14,benthic filamentous algae,1,1,1,2.0,1.0
15,15,benthic filamentous algae,1,1,1,2.0,1.0
16,16,other benthic/epiphytic algae,1,2,1,2.0,1.0
17,17,other benthic/epiphytic algae,1,1,2,2.0,1.0
18,18,other benthic/epiphytic algae,1,1,1,2.0,1.0
19,19,other benthic/epiphytic algae,1,1,1,2.0,1.0
20,20,macrophytic algae,1,1,2,3.0,2.0
21,21,partially terrestrial epilithic/epiphytic algae,1,1,0,4.0,3.0
22,22,partially terrestrial epilithic/epiphytic algae,1,7,1,3.1,2.0
23,23,partially terrestrial epilithic/epiphytic algae,1,5,1,3.166666666666667,2.0
24,24,aquatic saprotrophs,1,3,0,4.333333333333334,3.0
25,25,aquatic saprotrophs,1,1,1,4.0,3.0
26,26,aquatic saprotrophs,1,7,0,3.571428571428571,1.0
27,27,aquatic saprotrophs,1,1,0,4.0,3.0
28,28,aquatic saprotrophs,1,2,0,3.0,2.0
29,29,small algae parasites,1,10,0,3.4545454545454546,2.0
30,30,aquatic macrophyte parasites,1,1,1,2.0,1.0
31,31,nematodes,1,3,0,4.125,3.0
32,32;35;36;37,swimming filter feeders,4,0,0,1.0,0.0
33,33,swimming filter feeders,1,0,1,1.0,0.0
34,34,swimming scrapers,1,1,0,2.0,1.0
