sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_long_chain,sp_ntp
1,terrestrial detritus,1,1,0,4,1,0,0,3,0.0,1.0
2,land plants,2,8,0,4,1,0,0,3,0.0,1.0
3,land plants,2,8,0,4,1,0,0,2,0.0,1.0
4,land plants,2,8,0,4,1,0,0,2,0.0,1.0
5,land plants,2,8,0,4,1,0,0,1,0.0,1.0
6,land plants,2,8,0,4,1,0,0,2,0.0,1.0
7,land plants,2,8,0,4,1,0,0,2,0.0,1.0
8,land plants,2,8,0,4,1,0,0,2,0.0,1.0
9,land plants,2,8,0,4,1,0,0,2,0.0,1.0
10,heterotrophic microbes,3,1,2,7,1,0,1,5,1.0,2.0
11,terrestrial fungi,4,1,10,7,1,0,10,5,1.0,2.5
12,terrestrial microbivores,5,1,3,8,1,0,3,3,2.0,2.9
13,terrestrial detritivores,6,2,4,8,1,0,2,4,2.0,2.9
14,terrestrial detritivores,6,2,4,8,1,0,4,2,2.0,2.8181818181818183
15,mites,7,2,12,8,1,0,2,2,1.0,2.0
16,mites,7,2,12,8,1,0,1,3,3.0,3.2
17,small terrestrial arthropod predators,8,3,9,8,1,0,1,3,3.0,3.888888888888889
18,small terrestrial arthropod predators,8,3,9,8,1,0,1,2,3.0,3.9
19,small terrestrial arthropod predators,8,3,9,8,1,0,1,1,4.0,4.888888888888889
20,large terrestrial arthropod predators,9,5,13,5,1,0,13,2,3.0,4.579439252336448
21,large terrestrial arthropod predators,9,5,13,5,1,0,9,2,3.0,4.428571428571429
22,large terrestrial arthropod predators,9,5,13,5,1,0,1,2,3.0,3.888888888888889
23,large terrestrial arthropod predators,9,5,13,5,1,0,5,3,3.0,4.541666666666666
24,large terrestrial arthropod predators,9,5,13,5,1,0,1,3,1.0,2.0
25,aquatic detritus,10,1,0,5,0,1,0,3,0.0,1.0
26,aquatic heterotroph microbes,11,1,2,6,0,1,1,4,1.0,2.0
27,planktonic algae,12,1,0,6,0,1,0,3,0.0,1.0
28,benthic algae,13,1,0,10,1,1,0,5,0.0,1.0
29,macrophytic algae,14,1,0,4,0,1,0,1,0.0,1.0
30,aquatic fungi,15,1,5,4,0,1,2,1,1.0,2.0
31,nematodes,16,1,12,8,1,1,10,2,2.0,2.5294117647058822
32,swimming filter feeders,17,2,2,2,0,1,2,0,2.0,2.5
33,swimming filter feeders,17,2,2,2,0,1,2,2,2.0,2.5
34,swimming scrapers,18,1,5,3,0,1,1,0,2.0,3.0
35,arthropod omnivores,19,2,13,3,0,1,1,1,3.0,3.5
36,arthropod omnivores,19,2,13,3,0,1,8,0,3.0,2.9473684210526314
37,benthic predators,20,1,4,2,0,1,1,0,4.0,4.5
