sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,aquatic detritus,1,1,0,3,0,1,0,2
2,aquatic heterotroph microbes,2,1,0,2,0,1,0,0
3,planktonic algae,3,1,2,4,0,1,2,3
4,benthic algae,4,1,3,4,1,1,1,2
5,macrophytic algae,5,1,2,3,0,1,2,3
6,aquatic fungi,6,1,3,3,0,1,1,1
7,nematodes,7,1,3,3,1,1,1,1
8,swimming filter feeders,8,2,5,3,0,1,2,2
9,swimming filter feeders,8,2,5,3,0,1,5,1
10,swimming scrapers,9,1,6,1,0,1,1,0
11,arthropod omnivores,10,2,0,1,0,1,0,1
12,arthropod omnivores,10,2,0,1,0,1,0,1
13,benthic predators,11,1,3,1,0,1,3,1
